"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"jEdit",4.1,"org.gjt.sp.jedit.syntax.SoftWrapTokenHandler",42.5,12,3.5,182,0,12,4,4,1,2,4,8,6,1,0.980000019073486,0.200000002980232,0.811741934380224,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.gui.GrabKeyDialog",21.17391304,8,1.9565,521,0,74,6,23,0.909090909,4,4,8,7,3,0.990000009536743,0.419999986886978,0.869322582117973,FALSE
"jEdit",4.1,"bsh.BSHBlock",22.66666667,1,0.6667,71,0,10,2,3,0,5,1,14,9,1,0.97000002861023,0.400000005960464,0.846774194605889,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.GUIUtilities",42.0212766,16,3.7021,2031,0,173,41,47,0.222222222,88,0,101,23,0,0.990000009536743,0.379999995231628,0.870774193636833,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.EBComponent",0,1,1,1,0,1,1,1,0,32,0,32,1,0,0.839999973773956,0.140000000596046,0.636806453091483,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.gui.KeyEventWorkaround",51.75,62,20.5,218,0,16,3,4,1,5,0,6,1,0,0.980000019073486,0.46000000834465,0.865419355034828,FALSE
"jEdit",4.1,"bsh.BSHPrimaryExpression",24,1,0.5,50,0,8,1,2,0,1,1,8,7,1,1,0.360000014305115,0.808935483232621,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.EditPane",36.0952381,29,3.2381,785,0,139,14,21,1,23,1,36,21,1,0.990000009536743,0.370000004768372,0.893096775201059,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.options.SyntaxHiliteOptionPane",13.75,1,0.75,121,0,31,1,8,0.666666667,4,12,6,4,4,0.980000019073486,0.370000004768372,0.857903225864133,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.EBMessage",6.333333333,1,0.8333,45,11,13,6,6,1,31,0,31,1,0,0.870000004768372,0.129999995231628,0.681645160144375,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.options.AbbrevsOptionPane",33.92857143,3,1.4286,497,0,87,1,14,1,5,12,14,13,4,0.990000009536743,0.479999989271164,0.880677420958396,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.gui.AboutDialog",35.33333333,1,0.6667,110,0,27,3,3,1,1,0,5,5,0,0.990000009536743,0.46000000834465,0.871999999303972,FALSE
"jEdit",4.1,"org.gjt.sp.util.SegmentBuffer",19.75,3,1.25,83,0,6,3,4,0,2,11,2,0,1,0.959999978542328,0.119999997317791,0.753193546038482,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.BeanShell",54.13636364,14,2.0455,1219,0,95,16,22,0.666666667,9,0,29,22,0,0.959999978542328,0.270000010728836,0.764645159532947,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.msg.EditPaneUpdate",8.6,1,0.6,52,0,13,4,5,0.25,4,1,6,3,1,0.990000009536743,0.330000013113022,0.875000001442048,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.help.HelpTOCPanel",53.85714286,8,2,389,0,59,2,7,1,4,0,15,15,0,0.97000002861023,0.330000013113022,0.862161289395825,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.search.AllBufferSet",18.5,3,1.25,79,0,20,3,4,1,1,1,7,6,1,0.959999978542328,0.310000002384186,0.835999999988464,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.buffer.UndoManager",33.07142857,8,3.5,485,0,32,11,14,1,6,0,8,7,0,0.980000019073486,0.360000014305115,0.843387096543466,FALSE
"jEdit",4.1,"bsh.ReturnControl",9,0,0,12,0,2,1,1,0,9,0,10,1,0,0.97000002861023,0.540000021457672,0.849709676350317,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.gui.BufferSwitcher",13.75,2,1,61,0,17,2,4,1,4,0,6,5,0,0.980000019073486,0.200000002980232,0.813838707871976,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.buffer.OffsetManager",48.03703704,15,3.9259,1342,0,39,19,27,1,3,0,7,6,0,0.980000019073486,0.349999994039536,0.820612902698978,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.syntax.TokenHandler",0,1,1,1,0,1,1,1,0,7,0,8,1,0,0.980000019073486,0.180000007152557,0.788612903846848,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.msg.MacrosChanged",4,0,0,5,0,2,1,1,0,2,0,4,2,0,0.990000009536743,0.46000000834465,0.869612901345376,TRUE
"jEdit",4.1,"org.gjt.sp.jedit.search.CharIndexedSegment",18.16666667,4,2,118,0,7,6,6,1,3,0,4,1,0,0.980000019073486,0.379999995231628,0.844741934537888,FALSE
"jEdit",4.1,"org.gjt.sp.jedit.pluginmgr.PluginManagerProgress",16.15789474,3,1.0526,336,0,60,7,19,1,11,6,12,8,3,0.980000019073486,0.400000005960464,0.885129033942376,TRUE
